drift_type,model,static,adapted,improvement
REAL,KNN,0.2964824120603015,0.35175879396984927,0.055276381909547756
REAL,SVM,0.32160804020100503,0.40703517587939697,0.08542713567839194
REAL,CNN,0.38190954773869346,0.507537688442211,0.12562814070351758
REAL,LSTM,0.40703517587939697,0.4824120603015075,0.07537688442211055
calibrated_magmatch,KNN,0.34183673469387754,0.5918367346938775,0.25
calibrated_magmatch,SVM,0.29081632653061223,0.6122448979591837,0.32142857142857145
calibrated_magmatch,CNN,0.11734693877551021,0.5510204081632653,0.43367346938775503
calibrated_magmatch,LSTM,0.14285714285714285,0.30612244897959184,0.163265306122449
calibrated_magmatch_per_user,KNN,0.6275510204081632,0.6377551020408163,0.010204081632653073
calibrated_magmatch_per_user,SVM,0.7091836734693877,0.7295918367346939,0.020408163265306145
calibrated_magmatch_per_user,CNN,0.6683673469387755,0.8520408163265306,0.18367346938775508
calibrated_magmatch_per_user,LSTM,0.6632653061224489,0.7244897959183674,0.061224489795918435
calibrated,KNN,0.6581632653061225,0.6530612244897959,-0.005102040816326592
calibrated,SVM,0.7142857142857143,0.7397959183673469,0.025510204081632626
calibrated,CNN,0.7602040816326531,0.8163265306122449,0.056122448979591844
calibrated,LSTM,0.75,0.75,0.0
calibrated_tuned,KNN,0.6887755102040817,0.6530612244897959,-0.03571428571428581
calibrated_tuned,SVM,0.7448979591836735,0.75,0.005102040816326481
calibrated_tuned,CNN,0.8826530612244898,0.826530612244898,-0.056122448979591844
calibrated_tuned,LSTM,0.8112244897959183,0.8520408163265306,0.04081632653061229
calibrated_seq_friendly,KNN,0.7040816326530612,0.6785714285714286,-0.025510204081632626
calibrated_seq_friendly,SVM,0.7908163265306123,0.7551020408163265,-0.03571428571428581
calibrated_seq_friendly,CNN,0.9795918367346939,0.9540816326530612,-0.025510204081632626
calibrated_seq_friendly,LSTM,0.9795918367346939,0.9693877551020408,-0.010204081632653073
calibrated_seq_friendly_v2,KNN,0.7040816326530612,0.6785714285714286,-0.025510204081632626
calibrated_seq_friendly_v2,SVM,0.7908163265306123,0.7551020408163265,-0.03571428571428581
calibrated_seq_friendly_v2,CNN,0.9642857142857143,0.9489795918367347,-0.015306122448979553
calibrated_seq_friendly_v2,LSTM,0.9591836734693877,0.9642857142857143,0.005102040816326592
calibrated_seq_friendly_v3,KNN,0.7040816326530612,0.6785714285714286,-0.025510204081632626
calibrated_seq_friendly_v3,SVM,0.7908163265306123,0.7602040816326531,-0.030612244897959218
calibrated_seq_friendly_v3,CNN,0.9693877551020408,0.9795918367346939,0.010204081632653073
calibrated_seq_friendly_v3,LSTM,0.9693877551020408,0.9693877551020408,0.0
light,KNN,0.7040816326530612,0.6887755102040817,-0.015306122448979553
light,SVM,0.7857142857142857,0.75,-0.0357142857142857
light,CNN,0.9795918367346939,0.9285714285714286,-0.05102040816326525
light,LSTM,0.9693877551020408,0.9693877551020408,0.0
heavy,KNN,0.6479591836734694,0.6479591836734694,0.0
heavy,SVM,0.6887755102040817,0.7346938775510204,0.04591836734693877
heavy,CNN,0.5153061224489796,0.6836734693877551,0.16836734693877553
heavy,LSTM,0.673469387755102,0.7704081632653061,0.09693877551020413
gaussian_only,KNN,0.7142857142857143,0.673469387755102,-0.04081632653061229
gaussian_only,SVM,0.8010204081632653,0.7653061224489796,-0.0357142857142857
gaussian_only,CNN,0.9693877551020408,0.9642857142857143,-0.005102040816326481
gaussian_only,LSTM,0.9693877551020408,0.9489795918367347,-0.020408163265306034
mean_shift_only,KNN,0.7602040816326531,0.6938775510204082,-0.06632653061224492
mean_shift_only,SVM,0.8010204081632653,0.7806122448979592,-0.020408163265306034
mean_shift_only,CNN,0.923469387755102,0.9744897959183674,0.05102040816326536
mean_shift_only,LSTM,0.9387755102040817,0.9387755102040817,0.0
